bug_id,au_result,my_result
Math-19,test failed,test failed
Closure-20,test failed,test failed
Closure-40,test failed,test passed
Compress-28,test failed,test failed
Closure-109,test passed,compile error
Jsoup-33,test passed,test passed
Closure-95,test failed,test failed
Lang-29,test failed,test failed
Math-9,test failed,test failed
Csv-6,test passed,test passed
Closure-121,test failed,compile error
Closure-164,test failed,test failed
Closure-23,test failed,test failed
Gson-12,test failed,test failed
Math-75,test passed,test passed
JacksonDatabind-47,test passed,test failed
Math-95,test passed,test failed
JacksonDatabind-6,test failed,compile error
JacksonDatabind-93,test passed,test failed
Math-56,test passed,test passed
Jsoup-75,test failed,test failed
Closure-111,test failed,test failed
JacksonDatabind-58,test failed,test failed
Time-22,test failed,test failed
Cli-37,test passed,test failed
JacksonDatabind-11,test failed,test failed
Mockito-27,test failed,test failed
JacksonDatabind-12,test passed,test failed
Mockito-12,test failed,test failed
Codec-4,test failed,test failed
Closure-29,test failed,test failed
Csv-15,test passed,test failed
Lang-28,test passed,test failed
Math-41,test passed,test passed
JxPath-6,test failed,test failed
Jsoup-48,test failed,test failed
Csv-10,test failed,test failed
Math-73,test failed,test failed
Math-105,test failed,test failed
Jsoup-62,test passed,test passed
JacksonDatabind-82,test failed,test failed
Math-3,test passed,test passed
Math-63,test failed,test failed
Jsoup-5,test failed,test failed
Cli-40,test passed,test passed
Closure-131,test failed,test passed
Chart-8,test passed,test passed
Jsoup-50,compile error,compile error
Compress-46,test passed,test passed
Codec-6,test failed,test failed
Jsoup-54,test passed,test passed
Compress-5,test failed,test failed
Closure-32,compile error,compile error
JacksonDatabind-16,test passed,test passed
JacksonDatabind-97,test failed,test failed
Jsoup-55,test passed,test passed
Math-79,test passed,test passed
Codec-18,test passed,test failed
Lang-51,test passed,test failed
Jsoup-64,test passed,test passed
Jsoup-80,test passed,test failed
Closure-94,test failed,test failed
Lang-6,test failed,test passed
Closure-101,test passed,test passed
Math-52,test failed,test passed
Closure-86,test passed,test passed
Closure-25,test failed,test failed
Gson-16,test passed,test passed
Compress-37,test failed,test failed
Cli-29,test failed,test failed
Math-78,test failed,test failed
JacksonDatabind-64,test failed,test passed
Closure-7,test passed,test failed
Jsoup-45,test passed,test passed
JacksonCore-20,test failed,test failed
Jsoup-13,test failed,test failed
Compress-19,test passed,test passed
Jsoup-27,test failed,test failed
Cli-8,test passed,test passed
Lang-61,test passed,test passed
Jsoup-26,test passed,test passed
Lang-57,test failed,test failed
JacksonDatabind-98,test failed,test failed
Lang-40,test failed,test failed
Lang-59,test passed,test passed
Closure-118,test failed,test failed
Mockito-18,test failed,test failed
Math-32,test passed,test passed
JacksonDatabind-1,test passed,test passed
JacksonCore-4,test failed,test passed
Math-70,test passed,test passed
Math-25,test failed,test failed
JacksonDatabind-42,test failed,test failed
Time-4,test passed,test failed
Math-101,test passed,test passed
Mockito-8,test failed,test failed
Codec-17,test passed,test failed
JacksonDatabind-88,test failed,test failed
Lang-10,test passed,test failed
Chart-17,test failed,test failed
JacksonCore-5,test passed,test passed
Closure-2,compile error,compile error
Cli-5,test passed,test passed
Closure-176,test failed,test failed
Compress-38,test passed,test passed
Lang-48,test failed,test failed
Math-55,test failed,test failed
Jsoup-39,test passed,test passed
Closure-5,test failed,test failed
Closure-57,test passed,test passed
JacksonDatabind-9,test failed,test failed
JacksonDatabind-83,test passed,test passed
Closure-55,test failed,test failed
Jsoup-89,test passed,test passed
Csv-9,test passed,test passed
Closure-150,test failed,test failed
JacksonDatabind-49,test passed,test failed
Closure-44,test failed,test failed
Cli-9,test passed,test passed
Math-69,test passed,test failed
JacksonDatabind-76,test passed,test failed
Mockito-13,test failed,test failed
JacksonDatabind-85,test failed,test failed
Jsoup-51,test passed,test passed
Time-8,test failed,test failed
Closure-48,test failed,test failed
Math-89,test failed,test failed
JacksonDatabind-27,test passed,test passed
JacksonDatabind-8,test failed,test failed
Mockito-20,test failed,test failed
